ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
model8177_348,2.795786516,1.646064062,3.714414398,,,,,,,,,,,,,-0.020733944,-0.003673924,1.78936774,,1.327649642,-0.017258969,-0.012063255,141.9668522
model8177_350,2.793475097,1.644200508,3.714159993,,,,,,,,,,,,,-0.020624028,-0.003657277,1.789049232,,1.321567808,-0.017169476,-0.011997305,141.4343087
model8177_354,2.788819445,1.640454247,3.713661749,,,,,,,,,,,,,-0.02040688,-0.003622136,1.788237292,,1.310475133,-0.016991081,-0.011868606,140.3903392
model8177_355,2.787652339,1.639516657,3.71354001,,,,,,,,,,,,,-0.020352417,-0.00361299,1.788029693,,1.319925934,-0.016946102,-0.011836562,140.1329513
model8177_357,2.785301968,1.637627541,3.713293861,,,,,,,,,,,,,-0.020242895,-0.003594653,1.787609048,,1.315879704,-0.016855691,-0.011772085,139.6201699
model8177_362,2.77936347,1.632866015,3.712697267,,,,,,,,,,,,,-0.019927479,-0.003624811,1.785785468,,1.314173317,-0.016653984,-0.011527727,138.3571919
model8177_370,2.769714956,1.625149574,3.711769692,,,,,,,,,,,,,-0.019253756,-0.003549134,1.78207249,,1.310314036,-0.016124078,-0.011104845,136.390219
model8177_371,2.768541369,1.624216163,3.711670322,,,,,,,,,,,,,-0.019298191,-0.003583466,1.781347582,,1.298351216,-0.016179775,-0.011111988,136.1519676
model8177_379,2.758685937,1.616365304,3.710788991,,,,,,,,,,,,,-0.0184397,-0.00354709,1.844329815,,1.292337524,-0.015547009,-0.010530666,132.3042021
model8177_381,2.756194359,1.614385773,3.710577392,,,,,,,,,,,,,-0.018361553,-0.003522941,1.845164241,,1.296073568,-0.015474674,-0.010492483,131.8091358
model8177_383,2.753727588,1.612426032,3.710370468,,,,,,,,,,,,,-0.018107425,-0.003546884,1.84589341,,1.300206985,-0.015311909,-0.010295858,131.3184481
model8177_386,2.749925378,1.609411863,3.710060555,,,,,,,,,,,,,-0.018012899,-0.003510299,1.846823321,,1.298999877,-0.015219199,-0.010254887,130.5945261
model8177_387,2.748639401,1.608389958,3.709949715,,,,,,,,,,,,,-0.01770466,-0.003407901,1.847139192,,1.29568761,-0.014928835,-0.010109335,130.3547077
model8177_391,2.743588188,1.604390851,3.709551708,,,,,,,,,,,,,-0.017306801,-0.003384799,1.848455661,,1.29289272,-0.01463117,-0.009844342,129.4038954
model8177_393,2.741010388,1.602352383,3.709352828,,,,,,,,,,,,,-0.017251932,-0.003341092,1.849339294,,1.279808481,-0.014561467,-0.009836449,128.93571
model8177_394,2.739757653,1.601363135,3.709260571,,,,,,,,,,,,,-0.017376392,-0.003372901,1.850010758,,1.284497418,-0.014671965,-0.009901963,128.7038233
model8188_75,3.066260128,1.832542178,3.746182264,,,,,,,,,,,,,0.055773276,-0.007913699,1.832807722,,1.50028601,0.033841831,0.045033491,257.1849495
model8188_80,3.062195684,1.829053324,3.745013106,,,,,,,,,,,,,0.052490838,-0.00664911,1.865201779,,1.499798104,0.032414997,0.041818258,250.0492817
model8188_99,3.047244475,1.81607383,3.740527478,,,,,,,,,,,,,0.042112291,-0.002947613,1.41247118,,1.485380042,0.027693609,0.031862164,257.4572198
model8188_107,3.041118822,1.810698152,3.738623507,,,,,,,,,,,,,0.038624649,-0.001824648,1.395475668,,1.473388502,0.02602153,0.028601972,250.0149861
model8188_114,3.035778478,1.805994155,3.736956335,,,,,,,,,,,,,0.043396442,-0.002081822,1.383556507,,1.466025827,0.029213848,0.032157989,243.7329743
model8188_116,3.034247016,1.804642213,3.736477397,,,,,,,,,,,,,0.042614621,-0.001836144,1.380513843,,1.476052177,0.028834737,0.031431438,241.9847806
model8188_126,3.026686889,1.797959408,3.734124108,,,,,,,,,,,,,0.037842542,-0.000200573,1.367230987,,1.467549679,0.026616892,0.026900544,233.5784102
model8188_151,3.007395844,1.780929821,3.728388108,,,,,,,,,,,,,0.038859178,0.000618734,1.458979351,,1.446114537,0.027915099,0.027040078,208.6238289
model8188_189,2.97579519,1.753477663,3.720447781,,,,,,,,,,,,,-0.031046921,-0.002158053,2.232166697,,1.418119139,-0.023479462,-0.020427514,163.4040146
model8188_190,2.974881167,1.752696639,3.720250862,,,,,,,,,,,,,-0.030865109,-0.002179904,2.230760209,,1.423083588,-0.023366353,-0.020283503,162.9778079
model8188_191,2.974024618,1.751964109,3.720067045,,,,,,,,,,,,,-0.030690724,-0.002200023,2.229392393,,1.417163046,-0.02325727,-0.020145968,162.5583541
model8188_203,2.963064447,1.742645753,3.717838081,,,,,,,,,,,,,-0.03106131,-0.00229911,2.214417193,,1.417545025,-0.023589379,-0.020337947,157.6624035
model8188_209,2.957392883,1.737863894,3.716778937,,,,,,,,,,,,,-0.030116294,-0.002371878,1.863609062,,1.387742758,-0.022972607,-0.019618265,162.1258216
